FID,the_geom,KunstwerkN,Kunstenaar,LokatieBee,Lengtegraa,Breedtegra,Eigendom_v,Foto,Websitever,KunstwerkI,Contact,_timestamp
Kunstwerken.1,POINT (186176.05967631 426777.10636715),De zeven dagen van de week,Hugo Brouwer,Goffertweg 20,"5,83946257","51,8287233",particulier,134.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=134,134,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.2,POINT (186176.05967631 426777.10636715),De zeven dagen van de week,Lambert Simon,Goffertweg 20,"5,83946257","51,8287233",particulier,134.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=134,134,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.3,POINT (188528.96645588 428178.5148525),Geveldecoratie,Jac Maris,Dominicanenstraat 91,"5,87370202","51,8412196",particulier,142.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=142,142,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.4,POINT (187527.26341136 428599.47045755),Wapen (met spreuk 'Sine Cura'),Jac Maris,Van Berchenstraat 31,"5,85914622","51,8450589",particulier,143.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=143,143,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.5,POINT (188184.97811461 427046.64761957),Spelende kinderen,Albert Meertens,Professor Huijbersstraat 3,"5,86863019","51,8310300",particulier,146.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=146,146,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.6,POINT (187533.86211375 428759.21533245),Buste W.F.W. van de Wagt 1884-1957,Pieter d'Hont,Parkdwarsstraat 34,"5,85921135","51,8465220",particulier,152.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=152,152,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.7,POINT (187809.71179881 428591.644621),Christus Monogram,Jan Vaes,Molenstraat 37 (Petrus Canisiuskerk),"5,86331998","51,8449661",particulier,155.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=155,155,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.8,POINT (187811.82151454 428605.3163124),Gevel Mariakapel,Jan Vaes,Molenstraat 37 (Petrus Canisiuskerk),"5,86336479","51,8450450",particulier,160.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=160,160,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.9,POINT (187887.09235634 428091.92215883),'Vervult u met de vruchten die ik draag',Marius van Beek,Wilhelminasingel 15,"5,86440684","51,8404495",particulier,162.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=162,162,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.10,POINT (187540.6868604 428820.1074017),Moeder Gods,Jan van Eijk,Kroonstraat 148,"5,85939601","51,8470423",particulier,163.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=163,163,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
