naam,bouwjaar,kunstenaar,locatie,latitude,longitude,omschrijving,eigendom,bron,url
"Ingangspoort van het stadhuis","1554","Cornelis Sass","Burchtstraat 20",51.8470815,5.86575320,"Deze toegangspoort maakt deel uit van een totaalontwerp dat de gevel van het Nijmeegse stadhuis siert. Het oorspronkelijke beeldhouwwerk is van de beeldhouwer Cornelis Sass. De toegangspoort is met zijn triomfboog- en zuilmotieven classicistisch te noemen. In de rechterhoek bevindt zich een onbekend vrouwenportret en in de linkerhoek een onbekend mannenportret. Boven de toegangspoort staat een Latijnse tekst, waarvan de vertaling als volgt luidt: 
'Let wel op hetgeen gij doet, want niet op last van mensen spreekt gij recht, maar in naam van Jahweh. Hij is bij U wanneer gij recht spreekt. Hebt dus een heilig ontzag voor Jahweh, en gaat eerlijk te werk, want bij Jahweh onze God bestaat geen onrecht, geen partijdigheid en geen omkoperij.'

Cornelis Sass was afkomstig uit Utrecht en heeft aan deze gevel van het Nijmeegse stadhuis een aantal maanden in Nijmegen gewerkt. Uit de stadsrekeningen, waarin hij Cornelis die Maelder genoemd wordt, blijkt, dat hij van 18 maart tot 15 juli 1554 op de bouwplaats aanwezig was. Hij kan in die vier maanden onmogelijk alle gevelbeelden gemaakt hebben. Daarom wordt ervan uitgegaan dat de beelden en ook de poortomlijsting al voor een groot deel klaar waren en dat hij ze in de genoemde periode slechts aanbracht en bijwerkte.
Boven deze tekst bevindt zich een stadswapen en een keizerskroon, die door twee Gelderse leeuwen worden gedragen. Aan weerszijden hiervan staan twee kleine keizerbeelden. Waarschijnlijk zijn Julius Caesar en Julius Civilis hier voorgesteld. De oorspronkelijke toegangspoort werd in 1880-1882 door Pierre Cuypers bijgewerkt en pas tijdens de restauratie van ir. J.G. Deur rond 1938 vervangen door een zo getrouw mogelijke kopie.

De gebeeldhouwde poortomlijsting biedt een statige toegang tot de schepenhal van het stadhuis. Oorspronkelijk was al het beeldhouwwerk aan de gevel beschilderd. De eikenhouten toegangsdeur, in 1554 gemaakt door meester Gaert van Dulcken, is grotendeels authentiek. Boven de panelen van de deur zijn in het boogveld kraanvogels afgebeeld. Al heel wat bruidsparen zijn door deze deur naar buiten gekomen om zich op het bordes voor deze indrukwekkende poort te laten fotograferen.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=2"
"Reliëf","1618","Onbekend","Begijnenstraat 29",51.8485121,5.86058232,"De toegangspoort van het voormalig Protestants Weeshuis heeft een reliëf in de vorm van een lunet (halve maan). Hierop staan twee groepjes weeskinderen afgebeeld, rechts vijf meisjes en links vijf jongens. Met gevouwen handen roepen zij de hulp in van de Heilige Geest, die in de vorm van een duif boven hen zweeft. 

Het reliëf hoort oorspronkelijk bij de weeshuispoort uit 1616-1618. In 1645 vond een uitbreiding van het weeshuis plaats en kwam er een nieuwe toegangspoort. Het reliëf met de tien weeskinderen werd hierin opgenomen. Voor deze gelegenheid werd de rechthoekige vorm ervan afgekapt tot een halfronde vorm.

In het midden van de 19e eeuw kreeg het Protestants Weeshuis aan de Begijnenstraat voor de derde keer een nieuwe toegangspoort. Ook toen is dit oudere reliëf in de poort geplaatst. 

De eerste weeskinderen kwamen in 1562. De laatsten verlieten het gebouw omstreeks 1953. Nog steeds herinnert het reliëf, samen met de weesjongen en het weesmeisje aan weerszijden ervan, aan de functie die het gebouw eeuwen had.  

Het is niet bekend wie de maker is. Wel staat vast dat de poort, waarvan het werk oorspronkelijk onderdeel uitmaakte, in Luik is gemaakt. Het is dus goed mogelijk dat het hier om een Luikse beeldhouwer gaat. Waarschijnlijk is de 19e eeuwse poort, waarop het reliëf nu zit, een ontwerp van Pieter van de Kemp.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=3"
"Poort van het Oude Weeshuis","1640","Simon Bosboom","Gebroeders van Limburgplein",51.847260,5.859645,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=4"
"Poort met het wapen van de familie Singendonck","1643","Onbekend","Burchtstraat (Gedeputeerdenplaats stadhuis)",51.8469061,5.86558657,"Deze poort bevindt zich bij de Gedeputeerdenplaats van het stadhuis.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=5"
"Weesjongen en weesmeisje","1645","Gerhard Gröninger","Begijnenstraat 29",51.8485003,5.86054756,"In 1645 krijgt het Protestants Weeshuis aan de Begijnenstraat, na een bouwkundige uitbreiding, een nieuwe monumentale ingangspoort. De oude poort uit 1616-1618 verhuist - in aangepaste vorm - naar het Oud Burgeren Gasthuis. De uit Münster afkomstige beeldhouwer Gerhard Gröninger krijgt de opdracht tot het maken van twee beelden, die een weesjongen en een weesmeisje voorstellen. Ze zijn bedoeld om aan weerszijden van een ouder reliëf met tien weeskinderen geplaatst te worden. Na de uitbreiding van het weeshuis in 1645 heeft men echter de nieuwe toegangspoort versierd met deze beelden. 

In het midden van de 19e eeuw wordt er een nieuwe ingang aan de Begijnenstraat gebouwd, waarschijnlijk naar ontwerp van Pieter van Kemp. Ook de twee weeskinderen komen in deze opvolger terug. 

De wegens faillissement uit Münster gevluchte Westfaalse beeldhouwer Gerhard Gröninger krijgt verschillende opdrachten in het kader van de uitbreiding van het Protestants Weeshuis in 1945. Zo maakte hij niet alleen de beelden van de twee weeskinderen voor de nieuwe toegangspoort, maar ook de natuurstenen omlijsting van het oudere reliëf, afkomstig van de voorganger van de poort. Bij betaling in 1947 aan de beeldhouwer, wordt ook melding gemaakt van twee wangen van zijn hand voor een grote open haard in de provisorenkamer.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=6"
"Poort Oud Burgeren Gasthuis","1645","Onbekend","Professor Cornelissenstraat 2",51.8335393,5.86597126,"Tot 1846 vormde deze poort de toegang tot het Oud Burgeren Gasthuis aan de oostzijde van de Molenstraat. Het verdween uit het straatbeeld tot het in 1967 op de huidige plaats de entree voor het gasthuis markeert. 
De volgende tekst is in de poort opgenomen:

Aenschouwer van t huys Godt die Almachtich Heer
Wilt doch om Christi naem Die oock wil beloonen
Gedachtlich syn gasthuis Die met gemoet sinceer
Want sulcx is aengenaem Liefd'aen haer betoonen
ANNO 1645","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=7"
"Poortje met het Wapen van Nijmegen","1645","Simon Bosboom","Begijnenstraat 29",51.8485649,5.86054831,"Geen omschrijving.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=8"
"Academiepoort","1655","Onbekend","Burchtstraat 20",51.8468371,5.86555514,"Deze poort bevindt zich op de Gedeputeerdenplaats naast het stadhuis. In de poort is de volgende tekst opgenomen: 'Illustris Tetrarchiae Noviomagensis Universitas 1655'.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=11"
"Gedeputeerdenpoort","1663","Onbekend","Burchtstraat 20",51.8471012,5.86563814,"Deze klassicistische poort uit 1663, met fronton en tegen de pilasters gebeeldhouwde trofeeën, biedt in het moderne westelijke deel van het stadhuis toegang tot de Gedeputeerdenplaats.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=12"
"Gevelsteen 'De Blaauwe Hand'","1797","Onbekend","Achter de Hoofdwacht 3",51.8479467,5.86346233,"Gepolychromeerde gevelsteen die verwijst naar de tijd dat het pand 'In de Blaauwe hand' onderdeel uitmaakte van de oude lakenfabriek die gehuisvest was aan de Grote Markt. De indigo die in de blauwe kleurstof zat veroozaakte een blauwe waas over de handen van de lakenververs.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=13"
